Tender Ref,Status,Rejection Codes,Company Name,"Tendered Unit 
(BMU/Unit ID)",TO connection  /  DNO connection,Generation Type,Start Date,End Date,"Tendered Period 
(dd.mm.yy - dd.mm.yy)",Applicable FFR Capability Data Table,Tendered Frames per Service Day - From (Mon-Fri),Tendered Frames per Service Day - To (Mon- Fri),Tendered Frames per Service Day - Duration (Mon-Fri),Tendered Frames per Service Day - From (Saturday),Tendered Frames per Service Day - To (Saturday),Tendered Frames per Service Day - Duration (Saturday),Tendered Frames per Service Day - From (Sunday/Bank Holidays),Tendered Frames per Service Day - To (Sunday/Bank Holidays),Tendered Frames per Service Day - Duration (Sunday/Bank Hol),Tendered Prices - Availability Fee (£/h),Tendered Prices - Nomination Fee (£/h),Tendered Prices -  Window Initiation Fee (£/window),BMUs  Only ,Maximum Part Load Point (MW),Minimum Part Load Point (MW),Minimum MEL (MW),Maximum SEL (MW),Primary Response (max.) @ 0.2Hz (MW),Primary Response (max.) @ 0.5Hz (MW),Primary Response (max.) @ 0.8Hz (MW),Secondary Response (max.) @ 0.2/0.2Hz (MW),Secondary Response (max.) @ 0.5/0.5Hz (MW),High Frequency Response (max.) @ 0.2Hz (MW),High Frequency Response (max.) @ 0.5Hz (MW),Are you adding volume as per detail change provision,Please state the accepted tender that you are stacking onto,Please state if this is an all or nothing bid.,Please indicate if this is a mutually exclusive tender ,Automatic Response Energy Deliverable by 10s (MW),Automatic Response Energy Deliverable by 30s (MW),Comments 
139.088,Accepted,NA,Social Energy Limited,SOC8-FFR,DNO connection,DSF: Storage (onsite),31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,11.58,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,H for only 30min
139.089,Accepted,NA,Social Energy Limited,SOC8-FFR,DNO connection,DSF: Storage (onsite),01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,700,1100,4,700,1100,4,700,1100,4,10.82,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,H for only 30min
139.09,Accepted,NA,Social Energy Limited,SOC9-FFR,DNO connection,DSF: Storage (onsite),31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,11.76,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,H for only 30min
139.091,Accepted,NA,Social Energy Limited,SOC9-FFR,DNO connection,DSF: Storage (onsite),01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,700,1100,4,700,1100,4,700,1100,4,10.65,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,H for only 30min
139.092,Accepted,NA,Social Energy Limited,SOC10-FFR,DNO connection,DSF: Storage (onsite),31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,11.98,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,H for only 30min
139.093,Accepted,NA,Social Energy Limited,SOC10-FFR,DNO connection,DSF: Storage (onsite),01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,700,1100,4,700,1100,4,700,1100,4,10.47,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,H for only 30min
139.094,Accepted,NA,First Renewable Alpha Limited,TREGN-1,DNO connection,Diesel,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,50,,,,,,,,,,,,,,,,,,,,20,
139.095,Accepted,NA,First Renewable Alpha Limited,TREGN-1,DNO connection,Diesel,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,45,,,,,,,,,,,,,,,,,,,,20,
139.096,Accepted,NA,City Energy Management Services Ltd.,CMFH-1,DNO connection,DSF: Load response,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,700,1100,4,700,1100,4,700,1100,4,2.92,,,,,,,,,,,,,,,,,,,,1,
139.097,Accepted,NA,City Energy Management Services Ltd.,CMFH-1,DNO connection,DSF: Load response,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,1100,1500,4,1100,1500,4,1100,1500,4,5.85,,,,,,,,,,,,,,,,,,,,2,
139.098,Accepted,NA,City Energy Management Services Ltd.,CMFH-1,DNO connection,DSF: Load response,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,1900,2300,4,1900,2300,4,1900,2300,4,5.85,,,,,,,,,,,,,,,,,,,,2,
139.099,Accepted,NA,City Energy Management Services Ltd.,CMFH-2,DNO connection,DSF: Load response,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,2.92,,,,,,,,,,,,,,,,,,,,1,
139.1,Accepted,NA,City Energy Management Services Ltd.,CMFH-2,DNO connection,DSF: Load response,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,1900,2300,4,1900,2300,4,1900,2300,4,2.92,,,,,,,,,,,,,,,,,,,,1,
